filename,question,answer,sweep
0.svg,Count the number of pentagon's that are yellow.,1,"(2, 2)"
0.svg,Count the number of pentagon's that are red.,1,"(2, 2)"
1.svg,Count the number of star's that are green.,1,"(2, 2)"
1.svg,Count the number of star's that are red.,1,"(2, 2)"
2.svg,Count the number of triangle's that are gray.,1,"(2, 2)"
2.svg,Count the number of pentagon's that are purple.,1,"(2, 2)"
3.svg,Count the number of cross's that are purple.,1,"(2, 2)"
4.svg,Count the number of triangle's that are purple.,1,"(2, 2)"
4.svg,Count the number of cross's that are gray.,1,"(2, 2)"
5.svg,Count the number of star's that are green.,1,"(2, 2)"
5.svg,Count the number of star's that are black.,1,"(2, 2)"
6.svg,Count the number of star's that are red.,1,"(2, 2)"
7.svg,Count the number of pentagon's that are black.,1,"(2, 2)"
7.svg,Count the number of triangle's that are green.,1,"(2, 2)"
8.svg,Count the number of cross's that are black.,1,"(2, 2)"
8.svg,Count the number of triangle's that are orange.,1,"(2, 2)"
9.svg,Count the number of hexagon's that are orange.,1,"(2, 2)"
9.svg,Count the number of cross's that are gray.,1,"(2, 2)"
10.svg,Count the number of triangle's that are yellow.,1,"(2, 4)"
11.svg,Count the number of star's that are black.,1,"(2, 4)"
11.svg,Count the number of star's that are blue.,1,"(2, 4)"
12.svg,Count the number of hexagon's that are yellow.,1,"(2, 4)"
12.svg,Count the number of cross's that are green.,2,"(2, 4)"
12.svg,Count the number of hexagon's that are blue.,2,"(2, 4)"
13.svg,Count the number of pentagon's that are blue.,1,"(2, 4)"
13.svg,Count the number of star's that are orange.,1,"(2, 4)"
14.svg,Count the number of star's that are blue.,2,"(2, 4)"
14.svg,Count the number of star's that are yellow.,1,"(2, 4)"
15.svg,Count the number of pentagon's that are purple.,1,"(2, 4)"
15.svg,Count the number of triangle's that are green.,1,"(2, 4)"
15.svg,Count the number of pentagon's that are red.,1,"(2, 4)"
16.svg,Count the number of triangle's that are red.,1,"(2, 4)"
16.svg,Count the number of triangle's that are gray.,1,"(2, 4)"
17.svg,Count the number of pentagon's that are blue.,1,"(2, 4)"
17.svg,Count the number of cross's that are green.,1,"(2, 4)"
18.svg,Count the number of hexagon's that are purple.,1,"(2, 4)"
18.svg,Count the number of cross's that are black.,1,"(2, 4)"
18.svg,Count the number of cross's that are purple.,1,"(2, 4)"
19.svg,Count the number of octagon's that are orange.,1,"(2, 4)"
19.svg,Count the number of hexagon's that are red.,1,"(2, 4)"
20.svg,Count the number of octagon's that are purple.,1,"(2, 6)"
20.svg,Count the number of triangle's that are green.,1,"(2, 6)"
20.svg,Count the number of triangle's that are purple.,1,"(2, 6)"
20.svg,Count the number of octagon's that are gray.,1,"(2, 6)"
20.svg,Count the number of octagon's that are black.,1,"(2, 6)"
21.svg,Count the number of octagon's that are green.,1,"(2, 6)"
21.svg,Count the number of pentagon's that are red.,1,"(2, 6)"
21.svg,Count the number of pentagon's that are orange.,2,"(2, 6)"
