filename,answer,sweep
0.svg,T,"(1, 1, 0.04)"
1.svg,D,"(1, 1, 0.04)"
2.svg,K,"(1, 1, 0.04)"
3.svg,R,"(1, 1, 0.04)"
4.svg,H,"(1, 1, 0.04)"
5.svg,Y,"(1, 1, 0.08)"
6.svg,G,"(1, 1, 0.08)"
7.svg,S,"(1, 1, 0.08)"
8.svg,O,"(1, 1, 0.08)"
9.svg,Q,"(1, 1, 0.08)"
10.svg,O,"(1, 1, 0.1)"
11.svg,F,"(1, 1, 0.1)"
12.svg,A,"(1, 1, 0.1)"
13.svg,D,"(1, 1, 0.1)"
14.svg,R,"(1, 1, 0.1)"
15.svg,N,"(1, 2, 0.04)"
16.svg,N,"(1, 2, 0.04)"
17.svg,D,"(1, 2, 0.04)"
18.svg,C,"(1, 2, 0.04)"
19.svg,G,"(1, 2, 0.04)"
20.svg,I,"(1, 2, 0.08)"
21.svg,H,"(1, 2, 0.08)"
22.svg,L,"(1, 2, 0.08)"
23.svg,Z,"(1, 2, 0.08)"
24.svg,T,"(1, 2, 0.08)"
25.svg,K,"(1, 2, 0.1)"
26.svg,M,"(1, 2, 0.1)"
27.svg,L,"(1, 2, 0.1)"
28.svg,J,"(1, 2, 0.1)"
29.svg,X,"(1, 2, 0.1)"
30.svg,H,"(1, 3, 0.04)"
31.svg,K,"(1, 3, 0.04)"
32.svg,Z,"(1, 3, 0.04)"
33.svg,Q,"(1, 3, 0.04)"
34.svg,X,"(1, 3, 0.04)"
35.svg,H,"(1, 3, 0.08)"
36.svg,B,"(1, 3, 0.08)"
37.svg,X,"(1, 3, 0.08)"
38.svg,K,"(1, 3, 0.08)"
39.svg,M,"(1, 3, 0.08)"
40.svg,D,"(1, 3, 0.1)"
41.svg,B,"(1, 3, 0.1)"
42.svg,F,"(1, 3, 0.1)"
43.svg,E,"(1, 3, 0.1)"
44.svg,T,"(1, 3, 0.1)"
45.svg,XBBOT,"(5, 1, 0.04)"
46.svg,CJWZM,"(5, 1, 0.04)"
47.svg,ZULJK,"(5, 1, 0.04)"
48.svg,CYWDV,"(5, 1, 0.04)"
49.svg,OCUEC,"(5, 1, 0.04)"
50.svg,UNFME,"(5, 1, 0.08)"
51.svg,XNMNG,"(5, 1, 0.08)"
52.svg,MGRQN,"(5, 1, 0.08)"
53.svg,EWOXO,"(5, 1, 0.08)"
54.svg,WZVLS,"(5, 1, 0.08)"
55.svg,YWBQK,"(5, 1, 0.1)"
56.svg,BOUNG,"(5, 1, 0.1)"
57.svg,KQOHJ,"(5, 1, 0.1)"
58.svg,JIZBS,"(5, 1, 0.1)"
59.svg,NSSIR,"(5, 1, 0.1)"
60.svg,CHXJH,"(5, 2, 0.04)"
61.svg,OLMLP,"(5, 2, 0.04)"
62.svg,CXJGE,"(5, 2, 0.04)"
63.svg,GTJUE,"(5, 2, 0.04)"
64.svg,MBJCJ,"(5, 2, 0.04)"
65.svg,MDLSG,"(5, 2, 0.08)"
66.svg,KVNNY,"(5, 2, 0.08)"
67.svg,TQBXY,"(5, 2, 0.08)"
68.svg,QKSVI,"(5, 2, 0.08)"
69.svg,YCFTG,"(5, 2, 0.08)"
70.svg,RDPZI,"(5, 2, 0.1)"
71.svg,IHTEL,"(5, 2, 0.1)"
72.svg,UJIZR,"(5, 2, 0.1)"
73.svg,WHHII,"(5, 2, 0.1)"
74.svg,EYMPX,"(5, 2, 0.1)"
75.svg,LSHPI,"(5, 3, 0.04)"
76.svg,MUBGY,"(5, 3, 0.04)"
77.svg,IWHHF,"(5, 3, 0.04)"
78.svg,DOKZE,"(5, 3, 0.04)"
79.svg,HWZPP,"(5, 3, 0.04)"
80.svg,PUGIF,"(5, 3, 0.08)"
81.svg,KTQME,"(5, 3, 0.08)"
82.svg,KZZFG,"(5, 3, 0.08)"
83.svg,YBYOC,"(5, 3, 0.08)"
84.svg,EGSTA,"(5, 3, 0.08)"
85.svg,MRGJH,"(5, 3, 0.1)"
86.svg,SWYPN,"(5, 3, 0.1)"
87.svg,IOLUF,"(5, 3, 0.1)"
88.svg,THPSY,"(5, 3, 0.1)"
89.svg,CWTWH,"(5, 3, 0.1)"
90.svg,YUTPSKNTG,"(9, 1, 0.04)"
91.svg,TOGSJZWQS,"(9, 1, 0.04)"
92.svg,HIYBASSOF,"(9, 1, 0.04)"
93.svg,MIAGPZMRR,"(9, 1, 0.04)"
94.svg,WZGIZDJWS,"(9, 1, 0.04)"
95.svg,QKRUWYVPK,"(9, 1, 0.08)"
96.svg,ZOBWEJJPF,"(9, 1, 0.08)"
97.svg,UGEZWQPZI,"(9, 1, 0.08)"
98.svg,ZTFKFBLPA,"(9, 1, 0.08)"
99.svg,LIIAAISBC,"(9, 1, 0.08)"
100.svg,YJPIMUTES,"(9, 1, 0.1)"
101.svg,QXPAEDQNY,"(9, 1, 0.1)"
102.svg,POORLUASX,"(9, 1, 0.1)"
103.svg,SGMIGPWLR,"(9, 1, 0.1)"
104.svg,SYASQHQCD,"(9, 1, 0.1)"
105.svg,AXQEVOVFS,"(9, 2, 0.04)"
106.svg,WHDBWDWAW,"(9, 2, 0.04)"
107.svg,JUHHLDOZJ,"(9, 2, 0.04)"
108.svg,YEORSZHFM,"(9, 2, 0.04)"
109.svg,EDHAIVLRR,"(9, 2, 0.04)"
110.svg,KXVMCTOWP,"(9, 2, 0.08)"
111.svg,ZZZAONYMX,"(9, 2, 0.08)"
112.svg,GKQZEFRWE,"(9, 2, 0.08)"
113.svg,DETLLUKXC,"(9, 2, 0.08)"
114.svg,DUUURLYHR,"(9, 2, 0.08)"
115.svg,VVYNLBSGT,"(9, 2, 0.1)"
116.svg,SNEUXHOHP,"(9, 2, 0.1)"
117.svg,YFIQRFFSR,"(9, 2, 0.1)"
118.svg,KJIGXATVE,"(9, 2, 0.1)"
119.svg,DXMSNXXYL,"(9, 2, 0.1)"
120.svg,ILWEXWZZS,"(9, 3, 0.04)"
121.svg,PTRPCSVUV,"(9, 3, 0.04)"
122.svg,GFRIRBOTT,"(9, 3, 0.04)"
123.svg,JFNELQLJE,"(9, 3, 0.04)"
124.svg,EDWMLBSKD,"(9, 3, 0.04)"
125.svg,JJVHRCPLE,"(9, 3, 0.08)"
126.svg,FSPIVBFDA,"(9, 3, 0.08)"
127.svg,GMVBQNKSR,"(9, 3, 0.08)"
128.svg,CFFNQVVWW,"(9, 3, 0.08)"
129.svg,XTQZAQDIF,"(9, 3, 0.08)"
130.svg,FJRXTOKSC,"(9, 3, 0.1)"
131.svg,CJWNZMBES,"(9, 3, 0.1)"
132.svg,LQWCYUHQR,"(9, 3, 0.1)"
133.svg,PHYZUPMOG,"(9, 3, 0.1)"
134.svg,AAPIZVNAW,"(9, 3, 0.1)"
