name,spatial_dict,sweep
0.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('triangle', 'white'), (0, 2): ('square', 'black'), (1, 0): ('square', 'black'), (1, 1): ('square', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('triangle', 'black')}]","(3, 3, 1)"
1.svg,"[{(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'white'), (1, 0): ('square', 'black'), (1, 1): ('square', 'black'), (1, 2): ('square', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('triangle', 'white')}]","(3, 3, 1)"
2.svg,"[{(0, 0): ('triangle', 'black'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'black')}]","(3, 3, 1)"
3.svg,"[{(0, 0): ('circle', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('circle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('triangle', 'white')}]","(3, 3, 1)"
4.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('square', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('square', 'white')}]","(3, 3, 1)"
5.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('triangle', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'white'), (1, 1): ('square', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'black')}]","(3, 3, 1)"
6.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('square', 'black'), (0, 2): ('square', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('square', 'white'), (1, 2): ('square', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'white')}]","(3, 3, 1)"
7.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'white')}]","(3, 3, 1)"
8.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('square', 'white'), (0, 2): ('square', 'white'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('triangle', 'black'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('square', 'white')}]","(3, 3, 1)"
9.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'white')}]","(3, 3, 1)"
10.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('triangle', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('square', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('square', 'white')}]","(3, 3, 3)"
11.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('square', 'black'), (1, 2): ('square', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('square', 'black'), (1, 2): ('triangle', 'black'), (2, 0): ('circle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('triangle', 'white')}]","(3, 3, 3)"
12.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('triangle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('triangle', 'black'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('square', 'white'), (2, 0): ('square', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('circle', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('triangle', 'black')}]","(3, 3, 3)"
13.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('square', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'black')}, {(0, 0): ('square', 'black'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'white'), (2, 0): ('square', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'white')}]","(3, 3, 3)"
14.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('circle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('square', 'black'), (0, 1): ('circle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('circle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('square', 'white')}]","(3, 3, 3)"
