filename,question,answer,sweep
0.svg,"In grid 1, starting from the black triangle at position (row 2, column 3), how many white triangles are there down of it in the same column?",0,"(3, 3, 1)"
0.svg,"In grid 1, starting from the black square at position (row 2, column 1), how many black squares are there right of it in the same row?",0,"(3, 3, 1)"
0.svg,"In grid 1, starting from the black triangle at position (row 2, column 3), how many black objects are there down of it in the same column?",1,"(3, 3, 1)"
0.svg,"In grid 1, starting from the black triangle at position (row 3, column 3), how many black objects are there left of it in the same row?",1,"(3, 3, 1)"
0.svg,"In grid 1, starting from the white triangle at position (row 1, column 2), how many black squares are there left of it in the same row?",0,"(3, 3, 1)"
1.svg,"In grid 1, starting from the white circle at position (row 1, column 1), how many white squares are there right of it in the same row?",1,"(3, 3, 1)"
2.svg,"In grid 1, starting from the black circle at position (row 3, column 2), how many black objects are there right of it in the same row?",1,"(3, 3, 1)"
2.svg,"In grid 1, starting from the black circle at position (row 3, column 2), how many black squares are there left of it in the same row?",0,"(3, 3, 1)"
2.svg,"In grid 1, starting from the black triangle at position (row 2, column 2), how many white triangles are there down of it in the same column?",0,"(3, 3, 1)"
2.svg,"In grid 1, starting from the black triangle at position (row 1, column 1), how many white objects are there down of it in the same column?",0,"(3, 3, 1)"
3.svg,"In grid 1, starting from the white circle at position (row 3, column 1), how many black circles are there right of it in the same row?",0,"(3, 3, 1)"
4.svg,"In grid 1, starting from the white circle at position (row 2, column 3), how many black circles are there down of it in the same column?",0,"(3, 3, 1)"
5.svg,"In grid 1, starting from the white square at position (row 2, column 2), how many circles are there left of it in the same row?",0,"(3, 3, 1)"
5.svg,"In grid 1, starting from the white square at position (row 3, column 1), how many squares are there up of it in the same column?",2,"(3, 3, 1)"
5.svg,"In grid 1, starting from the white triangle at position (row 1, column 2), how many white objects are there down of it in the same column?",2,"(3, 3, 1)"
6.svg,"In grid 1, starting from the white square at position (row 2, column 3), how many white circles are there down of it in the same column?",0,"(3, 3, 1)"
6.svg,"In grid 1, starting from the white circle at position (row 2, column 1), how many white squares are there up of it in the same column?",0,"(3, 3, 1)"
6.svg,"In grid 1, starting from the black square at position (row 1, column 2), how many white circles are there down of it in the same column?",0,"(3, 3, 1)"
6.svg,"In grid 1, starting from the black square at position (row 1, column 3), how many black triangles are there down of it in the same column?",0,"(3, 3, 1)"
6.svg,"In grid 1, starting from the white square at position (row 3, column 3), how many white objects are there left of it in the same row?",0,"(3, 3, 1)"
7.svg,"In grid 1, starting from the white triangle at position (row 2, column 3), how many white circles are there up of it in the same column?",1,"(3, 3, 1)"
7.svg,"In grid 1, starting from the black triangle at position (row 2, column 2), how many white circles are there up of it in the same column?",0,"(3, 3, 1)"
8.svg,"In grid 1, starting from the white square at position (row 1, column 2), how many circles are there left of it in the same row?",0,"(3, 3, 1)"
8.svg,"In grid 1, starting from the black square at position (row 2, column 1), how many white objects are there down of it in the same column?",0,"(3, 3, 1)"
8.svg,"In grid 1, starting from the white square at position (row 1, column 1), how many white triangles are there down of it in the same column?",0,"(3, 3, 1)"
8.svg,"In grid 1, starting from the black square at position (row 2, column 1), how many circles are there up of it in the same column?",0,"(3, 3, 1)"
9.svg,"In grid 1, starting from the black triangle at position (row 3, column 1), how many white squares are there up of it in the same column?",0,"(3, 3, 1)"
9.svg,"In grid 1, starting from the white circle at position (row 2, column 2), how many black triangles are there down of it in the same column?",0,"(3, 3, 1)"
9.svg,"In grid 1, starting from the white circle at position (row 3, column 3), how many white objects are there left of it in the same row?",1,"(3, 3, 1)"
9.svg,"In grid 1, starting from the white circle at position (row 2, column 2), how many white objects are there up of it in the same column?",1,"(3, 3, 1)"
9.svg,"In grid 1, starting from the white square at position (row 2, column 3), how many white circles are there up of it in the same column?",0,"(3, 3, 1)"
10.svg,"In grid 3, starting from the white square at position (row 2, column 2), how many black circles are there down of it in the same column?",0,"(3, 3, 3)"
10.svg,"In grid 1, starting from the white triangle at position (row 3, column 1), how many black objects are there right of it in the same row?",1,"(3, 3, 3)"
10.svg,"In grid 3, starting from the black triangle at position (row 3, column 1), how many black objects are there right of it in the same row?",0,"(3, 3, 3)"
10.svg,"In grid 1, starting from the black triangle at position (row 3, column 2), how many circles are there right of it in the same row?",0,"(3, 3, 3)"
10.svg,"In grid 2, starting from the black triangle at position (row 1, column 2), how many circles are there right of it in the same row?",1,"(3, 3, 3)"
11.svg,"In grid 1, starting from the black square at position (row 2, column 2), how many black objects are there up of it in the same column?",1,"(3, 3, 3)"
11.svg,"In grid 3, starting from the black triangle at position (row 2, column 3), how many black objects are there up of it in the same column?",0,"(3, 3, 3)"
11.svg,"In grid 1, starting from the black triangle at position (row 1, column 2), how many black objects are there left of it in the same row?",0,"(3, 3, 3)"
11.svg,"In grid 2, starting from the white triangle at position (row 3, column 2), how many white squares are there up of it in the same column?",1,"(3, 3, 3)"
12.svg,"In grid 2, starting from the white square at position (row 2, column 3), how many black circles are there left of it in the same row?",1,"(3, 3, 3)"
12.svg,"In grid 1, starting from the black square at position (row 3, column 1), how many circles are there right of it in the same row?",0,"(3, 3, 3)"
12.svg,"In grid 1, starting from the white triangle at position (row 2, column 2), how many black triangles are there right of it in the same row?",0,"(3, 3, 3)"
13.svg,"In grid 2, starting from the black triangle at position (row 2, column 2), how many black squares are there left of it in the same row?",0,"(3, 3, 3)"
13.svg,"In grid 3, starting from the white circle at position (row 2, column 2), how many black objects are there left of it in the same row?",0,"(3, 3, 3)"
13.svg,"In grid 1, starting from the black triangle at position (row 3, column 3), how many black objects are there left of it in the same row?",2,"(3, 3, 3)"
13.svg,"In grid 3, starting from the white circle at position (row 1, column 2), how many squares are there right of it in the same row?",0,"(3, 3, 3)"
14.svg,"In grid 3, starting from the black square at position (row 3, column 2), how many black squares are there left of it in the same row?",0,"(3, 3, 3)"
14.svg,"In grid 2, starting from the black square at position (row 1, column 1), how many white triangles are there down of it in the same column?",0,"(3, 3, 3)"
14.svg,"In grid 3, starting from the black square at position (row 1, column 1), how many circles are there right of it in the same row?",1,"(3, 3, 3)"
14.svg,"In grid 3, starting from the black circle at position (row 3, column 1), how many white objects are there up of it in the same column?",1,"(3, 3, 3)"
15.svg,"In grid 3, starting from the white triangle at position (row 2, column 1), how many black triangles are there down of it in the same column?",0,"(3, 3, 3)"
16.svg,"In grid 2, starting from the black circle at position (row 2, column 3), how many white objects are there left of it in the same row?",1,"(3, 3, 3)"
16.svg,"In grid 2, starting from the white circle at position (row 1, column 3), how many black squares are there down of it in the same column?",0,"(3, 3, 3)"
16.svg,"In grid 3, starting from the white square at position (row 3, column 3), how many squares are there left of it in the same row?",1,"(3, 3, 3)"
17.svg,"In grid 2, starting from the white circle at position (row 2, column 3), how many white circles are there down of it in the same column?",0,"(3, 3, 3)"
17.svg,"In grid 3, starting from the black circle at position (row 1, column 3), how many black objects are there down of it in the same column?",1,"(3, 3, 3)"
18.svg,"In grid 3, starting from the white triangle at position (row 1, column 2), how many squares are there right of it in the same row?",0,"(3, 3, 3)"
18.svg,"In grid 3, starting from the white square at position (row 3, column 3), how many white squares are there up of it in the same column?",0,"(3, 3, 3)"
18.svg,"In grid 2, starting from the black triangle at position (row 3, column 1), how many white objects are there right of it in the same row?",0,"(3, 3, 3)"
18.svg,"In grid 1, starting from the black triangle at position (row 1, column 2), how many circles are there left of it in the same row?",1,"(3, 3, 3)"
19.svg,"In grid 1, starting from the black circle at position (row 1, column 1), how many black objects are there down of it in the same column?",1,"(3, 3, 3)"
19.svg,"In grid 1, starting from the black circle at position (row 1, column 2), how many white circles are there down of it in the same column?",0,"(3, 3, 3)"
19.svg,"In grid 1, starting from the white circle at position (row 1, column 3), how many black objects are there down of it in the same column?",2,"(3, 3, 3)"
20.svg,"In grid 2, starting from the white square at position (row 2, column 3), how many circles are there up of it in the same column?",0,"(3, 3, 5)"
21.svg,"In grid 5, starting from the black triangle at position (row 2, column 2), how many white squares are there down of it in the same column?",0,"(3, 3, 5)"
21.svg,"In grid 4, starting from the black triangle at position (row 1, column 3), how many circles are there down of it in the same column?",1,"(3, 3, 5)"
21.svg,"In grid 1, starting from the black square at position (row 1, column 2), how many white squares are there right of it in the same row?",1,"(3, 3, 5)"
21.svg,"In grid 2, starting from the black square at position (row 2, column 1), how many white objects are there up of it in the same column?",0,"(3, 3, 5)"
22.svg,"In grid 1, starting from the black triangle at position (row 1, column 3), how many triangles are there down of it in the same column?",0,"(3, 3, 5)"
22.svg,"In grid 4, starting from the white triangle at position (row 3, column 3), how many squares are there up of it in the same column?",1,"(3, 3, 5)"
22.svg,"In grid 3, starting from the black square at position (row 1, column 2), how many white circles are there left of it in the same row?",1,"(3, 3, 5)"
22.svg,"In grid 3, starting from the black square at position (row 1, column 3), how many black objects are there left of it in the same row?",1,"(3, 3, 5)"
22.svg,"In grid 2, starting from the white circle at position (row 1, column 1), how many black objects are there right of it in the same row?",2,"(3, 3, 5)"
23.svg,"In grid 4, starting from the black triangle at position (row 3, column 2), how many circles are there left of it in the same row?",0,"(3, 3, 5)"
23.svg,"In grid 2, starting from the white circle at position (row 2, column 2), how many black triangles are there left of it in the same row?",0,"(3, 3, 5)"
23.svg,"In grid 2, starting from the black circle at position (row 2, column 1), how many squares are there down of it in the same column?",1,"(3, 3, 5)"
23.svg,"In grid 2, starting from the white circle at position (row 3, column 2), how many black circles are there right of it in the same row?",0,"(3, 3, 5)"
23.svg,"In grid 5, starting from the white triangle at position (row 2, column 2), how many black objects are there right of it in the same row?",0,"(3, 3, 5)"
24.svg,"In grid 3, starting from the white triangle at position (row 3, column 2), how many white objects are there up of it in the same column?",2,"(3, 3, 5)"
24.svg,"In grid 2, starting from the black square at position (row 1, column 2), how many black squares are there down of it in the same column?",1,"(3, 3, 5)"
25.svg,"In grid 2, starting from the black triangle at position (row 1, column 2), how many squares are there down of it in the same column?",1,"(3, 3, 5)"
25.svg,"In grid 2, starting from the black square at position (row 2, column 1), how many white objects are there right of it in the same row?",1,"(3, 3, 5)"
25.svg,"In grid 2, starting from the black square at position (row 2, column 1), how many black objects are there up of it in the same column?",0,"(3, 3, 5)"
25.svg,"In grid 1, starting from the white square at position (row 2, column 1), how many white squares are there right of it in the same row?",1,"(3, 3, 5)"
26.svg,"In grid 4, starting from the white triangle at position (row 2, column 2), how many circles are there right of it in the same row?",0,"(3, 3, 5)"
26.svg,"In grid 1, starting from the black triangle at position (row 2, column 2), how many black objects are there down of it in the same column?",1,"(3, 3, 5)"
26.svg,"In grid 1, starting from the white triangle at position (row 3, column 3), how many black objects are there up of it in the same column?",1,"(3, 3, 5)"
26.svg,"In grid 4, starting from the white triangle at position (row 2, column 2), how many triangles are there up of it in the same column?",1,"(3, 3, 5)"
27.svg,"In grid 2, starting from the black square at position (row 1, column 2), how many white circles are there left of it in the same row?",0,"(3, 3, 5)"
27.svg,"In grid 4, starting from the black triangle at position (row 2, column 2), how many white objects are there right of it in the same row?",1,"(3, 3, 5)"
27.svg,"In grid 2, starting from the black circle at position (row 2, column 3), how many black objects are there up of it in the same column?",0,"(3, 3, 5)"
27.svg,"In grid 3, starting from the black circle at position (row 2, column 2), how many white objects are there right of it in the same row?",1,"(3, 3, 5)"
27.svg,"In grid 5, starting from the black circle at position (row 2, column 3), how many black objects are there left of it in the same row?",1,"(3, 3, 5)"
28.svg,"In grid 2, starting from the black triangle at position (row 2, column 3), how many black squares are there down of it in the same column?",0,"(3, 3, 5)"
28.svg,"In grid 1, starting from the black square at position (row 3, column 1), how many squares are there up of it in the same column?",1,"(3, 3, 5)"
28.svg,"In grid 3, starting from the black triangle at position (row 2, column 2), how many circles are there right of it in the same row?",0,"(3, 3, 5)"
29.svg,"In grid 3, starting from the white square at position (row 1, column 1), how many white objects are there right of it in the same row?",0,"(3, 3, 5)"
