filename,question,answer,sweep
66.png,"In the scene, which letters do you see from left to right?",BX,"['cylinder', 0.05, 0.4, 2]"
56.png,"In the scene, which letters do you see from left to right?",H,"['cube', 0.14, 0.4, 1]"
43.png,"In the scene, which letters do you see from left to right?",PI,"['cube', 0.08, 0.4, 2]"
19.png,"In the scene, which letters do you see from left to right?",UY,"['sphere', 0.11, 0.4, 2]"
6.png,"In the scene, which letters do you see from left to right?",UW,"['sphere', 0.05, 0.5, 2]"
94.png,"In the scene, which letters do you see from left to right?",QP,"['cylinder', 0.14, 0.5, 2]"
11.png,"In the scene, which letters do you see from left to right?",FB,"['sphere', 0.08, 0.4, 2]"
76.png,"In the scene, which letters do you see from left to right?",C,"['cylinder', 0.08, 0.5, 1]"
26.png,"In the scene, which letters do you see from left to right?",AK,"['sphere', 0.14, 0.4, 2]"
59.png,"In the scene, which letters do you see from left to right?",ZR,"['cube', 0.14, 0.4, 2]"
1.png,"In the scene, which letters do you see from left to right?",L,"['sphere', 0.05, 0.4, 1]"
23.png,"In the scene, which letters do you see from left to right?",RY,"['sphere', 0.11, 0.5, 2]"
8.png,"In the scene, which letters do you see from left to right?",M,"['sphere', 0.08, 0.4, 1]"
50.png,"In the scene, which letters do you see from left to right?",WB,"['cube', 0.11, 0.4, 2]"
72.png,"In the scene, which letters do you see from left to right?",N,"['cylinder', 0.08, 0.4, 1]"
83.png,"In the scene, which letters do you see from left to right?",EC,"['cylinder', 0.11, 0.4, 2]"
77.png,"In the scene, which letters do you see from left to right?",Z,"['cylinder', 0.08, 0.5, 1]"
89.png,"In the scene, which letters do you see from left to right?",O,"['cylinder', 0.14, 0.4, 1]"
48.png,"In the scene, which letters do you see from left to right?",X,"['cube', 0.11, 0.4, 1]"
17.png,"In the scene, which letters do you see from left to right?",V,"['sphere', 0.11, 0.4, 1]"
58.png,"In the scene, which letters do you see from left to right?",PJ,"['cube', 0.14, 0.4, 2]"
7.png,"In the scene, which letters do you see from left to right?",ER,"['sphere', 0.05, 0.5, 2]"
90.png,"In the scene, which letters do you see from left to right?",AV,"['cylinder', 0.14, 0.4, 2]"
54.png,"In the scene, which letters do you see from left to right?",UV,"['cube', 0.11, 0.5, 2]"
32.png,"In the scene, which letters do you see from left to right?",T,"['cube', 0.05, 0.4, 1]"
82.png,"In the scene, which letters do you see from left to right?",ZZ,"['cylinder', 0.11, 0.4, 2]"
81.png,"In the scene, which letters do you see from left to right?",G,"['cylinder', 0.11, 0.4, 1]"
55.png,"In the scene, which letters do you see from left to right?",RR,"['cube', 0.11, 0.5, 2]"
63.png,"In the scene, which letters do you see from left to right?",UH,"['cube', 0.14, 0.5, 2]"
84.png,"In the scene, which letters do you see from left to right?",C,"['cylinder', 0.11, 0.5, 1]"
28.png,"In the scene, which letters do you see from left to right?",K,"['sphere', 0.14, 0.5, 1]"
39.png,"In the scene, which letters do you see from left to right?",QO,"['cube', 0.05, 0.5, 2]"
86.png,"In the scene, which letters do you see from left to right?",NK,"['cylinder', 0.11, 0.5, 2]"
41.png,"In the scene, which letters do you see from left to right?",D,"['cube', 0.08, 0.4, 1]"
78.png,"In the scene, which letters do you see from left to right?",OQ,"['cylinder', 0.08, 0.5, 2]"
36.png,"In the scene, which letters do you see from left to right?",M,"['cube', 0.05, 0.5, 1]"
46.png,"In the scene, which letters do you see from left to right?",AP,"['cube', 0.08, 0.5, 2]"
69.png,"In the scene, which letters do you see from left to right?",H,"['cylinder', 0.05, 0.5, 1]"
64.png,"In the scene, which letters do you see from left to right?",B,"['cylinder', 0.05, 0.4, 1]"
9.png,"In the scene, which letters do you see from left to right?",A,"['sphere', 0.08, 0.4, 1]"
15.png,"In the scene, which letters do you see from left to right?",NR,"['sphere', 0.08, 0.5, 2]"
51.png,"In the scene, which letters do you see from left to right?",AU,"['cube', 0.11, 0.4, 2]"
29.png,"In the scene, which letters do you see from left to right?",N,"['sphere', 0.14, 0.5, 1]"
95.png,"In the scene, which letters do you see from left to right?",KR,"['cylinder', 0.14, 0.5, 2]"
75.png,"In the scene, which letters do you see from left to right?",JR,"['cylinder', 0.08, 0.4, 2]"
31.png,"In the scene, which letters do you see from left to right?",WB,"['sphere', 0.14, 0.5, 2]"
87.png,"In the scene, which letters do you see from left to right?",LW,"['cylinder', 0.11, 0.5, 2]"
42.png,"In the scene, which letters do you see from left to right?",OX,"['cube', 0.08, 0.4, 2]"
61.png,"In the scene, which letters do you see from left to right?",T,"['cube', 0.14, 0.5, 1]"
53.png,"In the scene, which letters do you see from left to right?",P,"['cube', 0.11, 0.5, 1]"
44.png,"In the scene, which letters do you see from left to right?",Z,"['cube', 0.08, 0.5, 1]"
62.png,"In the scene, which letters do you see from left to right?",GU,"['cube', 0.14, 0.5, 2]"
68.png,"In the scene, which letters do you see from left to right?",Z,"['cylinder', 0.05, 0.5, 1]"
65.png,"In the scene, which letters do you see from left to right?",V,"['cylinder', 0.05, 0.4, 1]"
67.png,"In the scene, which letters do you see from left to right?",OC,"['cylinder', 0.05, 0.4, 2]"
22.png,"In the scene, which letters do you see from left to right?",EO,"['sphere', 0.11, 0.5, 2]"
70.png,"In the scene, which letters do you see from left to right?",SJ,"['cylinder', 0.05, 0.5, 2]"
93.png,"In the scene, which letters do you see from left to right?",Z,"['cylinder', 0.14, 0.5, 1]"
88.png,"In the scene, which letters do you see from left to right?",R,"['cylinder', 0.14, 0.4, 1]"
73.png,"In the scene, which letters do you see from left to right?",M,"['cylinder', 0.08, 0.4, 1]"
45.png,"In the scene, which letters do you see from left to right?",U,"['cube', 0.08, 0.5, 1]"
30.png,"In the scene, which letters do you see from left to right?",IK,"['sphere', 0.14, 0.5, 2]"
0.png,"In the scene, which letters do you see from left to right?",T,"['sphere', 0.05, 0.4, 1]"
21.png,"In the scene, which letters do you see from left to right?",T,"['sphere', 0.11, 0.5, 1]"
16.png,"In the scene, which letters do you see from left to right?",Y,"['sphere', 0.11, 0.4, 1]"
52.png,"In the scene, which letters do you see from left to right?",Y,"['cube', 0.11, 0.5, 1]"
25.png,"In the scene, which letters do you see from left to right?",O,"['sphere', 0.14, 0.4, 1]"
18.png,"In the scene, which letters do you see from left to right?",BZ,"['sphere', 0.11, 0.4, 2]"
40.png,"In the scene, which letters do you see from left to right?",M,"['cube', 0.08, 0.4, 1]"
35.png,"In the scene, which letters do you see from left to right?",BE,"['cube', 0.05, 0.4, 2]"
38.png,"In the scene, which letters do you see from left to right?",ZP,"['cube', 0.05, 0.5, 2]"
74.png,"In the scene, which letters do you see from left to right?",FM,"['cylinder', 0.08, 0.4, 2]"
34.png,"In the scene, which letters do you see from left to right?",EO,"['cube', 0.05, 0.4, 2]"
80.png,"In the scene, which letters do you see from left to right?",B,"['cylinder', 0.11, 0.4, 1]"
10.png,"In the scene, which letters do you see from left to right?",IW,"['sphere', 0.08, 0.4, 2]"
71.png,"In the scene, which letters do you see from left to right?",NP,"['cylinder', 0.05, 0.5, 2]"
47.png,"In the scene, which letters do you see from left to right?",NK,"['cube', 0.08, 0.5, 2]"
13.png,"In the scene, which letters do you see from left to right?",K,"['sphere', 0.08, 0.5, 1]"
85.png,"In the scene, which letters do you see from left to right?",D,"['cylinder', 0.11, 0.5, 1]"
37.png,"In the scene, which letters do you see from left to right?",E,"['cube', 0.05, 0.5, 1]"
5.png,"In the scene, which letters do you see from left to right?",H,"['sphere', 0.05, 0.5, 1]"
33.png,"In the scene, which letters do you see from left to right?",P,"['cube', 0.05, 0.4, 1]"
92.png,"In the scene, which letters do you see from left to right?",V,"['cylinder', 0.14, 0.5, 1]"
2.png,"In the scene, which letters do you see from left to right?",UK,"['sphere', 0.05, 0.4, 2]"
27.png,"In the scene, which letters do you see from left to right?",SF,"['sphere', 0.14, 0.4, 2]"
49.png,"In the scene, which letters do you see from left to right?",T,"['cube', 0.11, 0.4, 1]"
4.png,"In the scene, which letters do you see from left to right?",W,"['sphere', 0.05, 0.5, 1]"
24.png,"In the scene, which letters do you see from left to right?",T,"['sphere', 0.14, 0.4, 1]"
3.png,"In the scene, which letters do you see from left to right?",EK,"['sphere', 0.05, 0.4, 2]"
20.png,"In the scene, which letters do you see from left to right?",M,"['sphere', 0.11, 0.5, 1]"
57.png,"In the scene, which letters do you see from left to right?",H,"['cube', 0.14, 0.4, 1]"
79.png,"In the scene, which letters do you see from left to right?",GA,"['cylinder', 0.08, 0.5, 2]"
12.png,"In the scene, which letters do you see from left to right?",B,"['sphere', 0.08, 0.5, 1]"
60.png,"In the scene, which letters do you see from left to right?",X,"['cube', 0.14, 0.5, 1]"
91.png,"In the scene, which letters do you see from left to right?",GF,"['cylinder', 0.14, 0.4, 2]"
14.png,"In the scene, which letters do you see from left to right?",YW,"['sphere', 0.08, 0.5, 2]"
