filename,answer,sweep
0.svg,3,"(5, 0.8, 0.8, 0)"
1.svg,4,"(5, 0.8, 0.8, 0)"
2.svg,1,"(5, 0.8, 0.8, 0)"
3.svg,4,"(5, 0.8, 0.8, 0)"
4.svg,2,"(5, 0.8, 0.8, 0)"
5.svg,1,"(5, 0.8, 0.8, 1)"
6.svg,4,"(5, 0.8, 0.8, 1)"
7.svg,1,"(5, 0.8, 0.8, 1)"
8.svg,2,"(5, 0.8, 0.8, 1)"
9.svg,2,"(5, 0.8, 0.8, 1)"
10.svg,4,"(5, 0.8, 1.1, 0)"
11.svg,4,"(5, 0.8, 1.1, 0)"
12.svg,1,"(5, 0.8, 1.1, 0)"
13.svg,2,"(5, 0.8, 1.1, 0)"
14.svg,2,"(5, 0.8, 1.1, 0)"
15.svg,3,"(5, 0.8, 1.1, 1)"
16.svg,1,"(5, 0.8, 1.1, 1)"
17.svg,2,"(5, 0.8, 1.1, 1)"
18.svg,4,"(5, 0.8, 1.1, 1)"
19.svg,3,"(5, 0.8, 1.1, 1)"
20.svg,4,"(5, 0.8, 1.4, 0)"
21.svg,4,"(5, 0.8, 1.4, 0)"
22.svg,4,"(5, 0.8, 1.4, 0)"
23.svg,3,"(5, 0.8, 1.4, 0)"
24.svg,1,"(5, 0.8, 1.4, 0)"
25.svg,2,"(5, 0.8, 1.4, 1)"
26.svg,1,"(5, 0.8, 1.4, 1)"
27.svg,2,"(5, 0.8, 1.4, 1)"
28.svg,2,"(5, 0.8, 1.4, 1)"
29.svg,1,"(5, 0.8, 1.4, 1)"
30.svg,4,"(5, 1.1, 0.8, 0)"
31.svg,3,"(5, 1.1, 0.8, 0)"
32.svg,4,"(5, 1.1, 0.8, 0)"
33.svg,3,"(5, 1.1, 0.8, 0)"
34.svg,1,"(5, 1.1, 0.8, 0)"
35.svg,4,"(5, 1.1, 0.8, 1)"
36.svg,4,"(5, 1.1, 0.8, 1)"
37.svg,2,"(5, 1.1, 0.8, 1)"
38.svg,3,"(5, 1.1, 0.8, 1)"
39.svg,1,"(5, 1.1, 0.8, 1)"
40.svg,1,"(5, 1.1, 1.1, 0)"
41.svg,1,"(5, 1.1, 1.1, 0)"
42.svg,3,"(5, 1.1, 1.1, 0)"
43.svg,3,"(5, 1.1, 1.1, 0)"
44.svg,1,"(5, 1.1, 1.1, 0)"
45.svg,2,"(5, 1.1, 1.1, 1)"
46.svg,2,"(5, 1.1, 1.1, 1)"
47.svg,4,"(5, 1.1, 1.1, 1)"
48.svg,3,"(5, 1.1, 1.1, 1)"
49.svg,3,"(5, 1.1, 1.1, 1)"
50.svg,4,"(5, 1.1, 1.4, 0)"
51.svg,2,"(5, 1.1, 1.4, 0)"
52.svg,2,"(5, 1.1, 1.4, 0)"
53.svg,4,"(5, 1.1, 1.4, 0)"
54.svg,2,"(5, 1.1, 1.4, 0)"
55.svg,3,"(5, 1.1, 1.4, 1)"
56.svg,2,"(5, 1.1, 1.4, 1)"
57.svg,4,"(5, 1.1, 1.4, 1)"
58.svg,4,"(5, 1.1, 1.4, 1)"
59.svg,2,"(5, 1.1, 1.4, 1)"
60.svg,3,"(5, 1.4, 0.8, 0)"
61.svg,3,"(5, 1.4, 0.8, 0)"
62.svg,2,"(5, 1.4, 0.8, 0)"
63.svg,1,"(5, 1.4, 0.8, 0)"
64.svg,3,"(5, 1.4, 0.8, 0)"
65.svg,1,"(5, 1.4, 0.8, 1)"
66.svg,4,"(5, 1.4, 0.8, 1)"
67.svg,4,"(5, 1.4, 0.8, 1)"
68.svg,3,"(5, 1.4, 0.8, 1)"
69.svg,2,"(5, 1.4, 0.8, 1)"
70.svg,4,"(5, 1.4, 1.1, 0)"
71.svg,2,"(5, 1.4, 1.1, 0)"
72.svg,4,"(5, 1.4, 1.1, 0)"
73.svg,3,"(5, 1.4, 1.1, 0)"
74.svg,3,"(5, 1.4, 1.1, 0)"
75.svg,3,"(5, 1.4, 1.1, 1)"
76.svg,4,"(5, 1.4, 1.1, 1)"
77.svg,1,"(5, 1.4, 1.1, 1)"
78.svg,1,"(5, 1.4, 1.1, 1)"
79.svg,3,"(5, 1.4, 1.1, 1)"
80.svg,2,"(5, 1.4, 1.4, 0)"
81.svg,4,"(5, 1.4, 1.4, 0)"
82.svg,1,"(5, 1.4, 1.4, 0)"
83.svg,2,"(5, 1.4, 1.4, 0)"
84.svg,3,"(5, 1.4, 1.4, 0)"
85.svg,1,"(5, 1.4, 1.4, 1)"
86.svg,4,"(5, 1.4, 1.4, 1)"
87.svg,2,"(5, 1.4, 1.4, 1)"
88.svg,4,"(5, 1.4, 1.4, 1)"
89.svg,2,"(5, 1.4, 1.4, 1)"
90.svg,2,"(25, 0.8, 0.8, 0)"
91.svg,1,"(25, 0.8, 0.8, 0)"
92.svg,4,"(25, 0.8, 0.8, 0)"
93.svg,4,"(25, 0.8, 0.8, 0)"
94.svg,2,"(25, 0.8, 0.8, 0)"
95.svg,4,"(25, 0.8, 0.8, 1)"
96.svg,4,"(25, 0.8, 0.8, 1)"
97.svg,3,"(25, 0.8, 0.8, 1)"
98.svg,4,"(25, 0.8, 0.8, 1)"
99.svg,3,"(25, 0.8, 0.8, 1)"
100.svg,1,"(25, 0.8, 1.1, 0)"
101.svg,4,"(25, 0.8, 1.1, 0)"
102.svg,3,"(25, 0.8, 1.1, 0)"
103.svg,3,"(25, 0.8, 1.1, 0)"
104.svg,3,"(25, 0.8, 1.1, 0)"
105.svg,2,"(25, 0.8, 1.1, 1)"
106.svg,3,"(25, 0.8, 1.1, 1)"
107.svg,2,"(25, 0.8, 1.1, 1)"
108.svg,1,"(25, 0.8, 1.1, 1)"
109.svg,1,"(25, 0.8, 1.1, 1)"
110.svg,4,"(25, 0.8, 1.4, 0)"
111.svg,1,"(25, 0.8, 1.4, 0)"
112.svg,3,"(25, 0.8, 1.4, 0)"
113.svg,2,"(25, 0.8, 1.4, 0)"
114.svg,3,"(25, 0.8, 1.4, 0)"
115.svg,1,"(25, 0.8, 1.4, 1)"
116.svg,3,"(25, 0.8, 1.4, 1)"
117.svg,4,"(25, 0.8, 1.4, 1)"
118.svg,1,"(25, 0.8, 1.4, 1)"
119.svg,3,"(25, 0.8, 1.4, 1)"
120.svg,4,"(25, 1.1, 0.8, 0)"
121.svg,4,"(25, 1.1, 0.8, 0)"
122.svg,3,"(25, 1.1, 0.8, 0)"
123.svg,2,"(25, 1.1, 0.8, 0)"
124.svg,4,"(25, 1.1, 0.8, 0)"
125.svg,1,"(25, 1.1, 0.8, 1)"
126.svg,2,"(25, 1.1, 0.8, 1)"
127.svg,2,"(25, 1.1, 0.8, 1)"
128.svg,2,"(25, 1.1, 0.8, 1)"
129.svg,2,"(25, 1.1, 0.8, 1)"
130.svg,4,"(25, 1.1, 1.1, 0)"
131.svg,4,"(25, 1.1, 1.1, 0)"
132.svg,3,"(25, 1.1, 1.1, 0)"
133.svg,2,"(25, 1.1, 1.1, 0)"
134.svg,4,"(25, 1.1, 1.1, 0)"
135.svg,3,"(25, 1.1, 1.1, 1)"
136.svg,4,"(25, 1.1, 1.1, 1)"
137.svg,4,"(25, 1.1, 1.1, 1)"
138.svg,2,"(25, 1.1, 1.1, 1)"
139.svg,3,"(25, 1.1, 1.1, 1)"
140.svg,3,"(25, 1.1, 1.4, 0)"
141.svg,2,"(25, 1.1, 1.4, 0)"
142.svg,2,"(25, 1.1, 1.4, 0)"
143.svg,2,"(25, 1.1, 1.4, 0)"
144.svg,2,"(25, 1.1, 1.4, 0)"
