filename,question,answer,sweep
66.png,"In the scene, how many white cylinder's are there?",1,"[3, 3, 0.8]"
56.png,"In the scene, how many red cone's are there?",1,"[3, 2, 0.7]"
43.png,"In the scene, how many black cube's are there?",1,"[2, 3, 0.8]"
19.png,"In the scene, how many white torus's are there?",3,"[1, 3, 0.8]"
6.png,"In the scene, how many black cylinder's are there?",1,"[1, 1, 0.99]"
119.png,"In the scene, how many yellow cylinder's are there?",1,"[5, 3, 0.99]"
94.png,"In the scene, how many black sphere's are there?",1,"[4, 3, 0.99]"
11.png,"In the scene, how many yellow sphere's are there?",1,"[1, 2, 0.8]"
76.png,"In the scene, how many black cube's are there?",1,"[4, 1, 0.9]"
100.png,"In the scene, how many red sphere's are there?",1,"[5, 1, 0.9]"
26.png,"In the scene, how many red sphere's are there?",1,"[2, 1, 0.8]"
59.png,"In the scene, how many blue torus's are there?",1,"[3, 2, 0.8]"
1.png,"In the scene, how many red cube's are there?",1,"[1, 1, 0.7]"
23.png,"In the scene, how many red cylinder's are there?",1,"[1, 3, 0.99]"
8.png,"In the scene, how many red cone's are there?",1,"[1, 2, 0.7]"
50.png,"In the scene, how many red torus's are there?",1,"[3, 1, 0.8]"
101.png,"In the scene, how many white sphere's are there?",1,"[5, 1, 0.9]"
72.png,"In the scene, how many white sphere's are there?",1,"[4, 1, 0.7]"
83.png,"In the scene, how many black sphere's are there?",2,"[4, 2, 0.8]"
77.png,"In the scene, how many blue sphere's are there?",1,"[4, 1, 0.9]"
89.png,"In the scene, how many blue torus's are there?",2,"[4, 3, 0.7]"
48.png,"In the scene, how many red cube's are there?",1,"[3, 1, 0.7]"
17.png,"In the scene, how many black sphere's are there?",1,"[1, 3, 0.7]"
58.png,"In the scene, how many black sphere's are there?",2,"[3, 2, 0.8]"
7.png,"In the scene, how many black sphere's are there?",1,"[1, 1, 0.99]"
103.png,"In the scene, how many blue torus's are there?",1,"[5, 1, 0.99]"
90.png,"In the scene, how many red cone's are there?",1,"[4, 3, 0.8]"
54.png,"In the scene, how many yellow torus's are there?",1,"[3, 1, 0.99]"
32.png,"In the scene, how many red sphere's are there?",1,"[2, 2, 0.7]"
82.png,"In the scene, how many black cone's are there?",1,"[4, 2, 0.8]"
97.png,"In the scene, how many blue sphere's are there?",1,"[5, 1, 0.7]"
81.png,"In the scene, how many yellow sphere's are there?",1,"[4, 2, 0.7]"
55.png,"In the scene, how many yellow cone's are there?",1,"[3, 1, 0.99]"
63.png,"In the scene, how many white cylinder's are there?",1,"[3, 2, 0.99]"
84.png,"In the scene, how many black cone's are there?",1,"[4, 2, 0.9]"
28.png,"In the scene, how many white cone's are there?",1,"[2, 1, 0.9]"
39.png,"In the scene, how many black torus's are there?",2,"[2, 2, 0.99]"
98.png,"In the scene, how many red cylinder's are there?",1,"[5, 1, 0.8]"
86.png,"In the scene, how many white cube's are there?",1,"[4, 2, 0.99]"
41.png,"In the scene, how many blue sphere's are there?",1,"[2, 3, 0.7]"
78.png,"In the scene, how many red cylinder's are there?",1,"[4, 1, 0.99]"
36.png,"In the scene, how many yellow sphere's are there?",1,"[2, 2, 0.9]"
111.png,"In the scene, how many yellow sphere's are there?",1,"[5, 2, 0.99]"
46.png,"In the scene, how many black torus's are there?",1,"[2, 3, 0.99]"
69.png,"In the scene, how many white torus's are there?",1,"[3, 3, 0.9]"
64.png,"In the scene, how many blue cylinder's are there?",1,"[3, 3, 0.7]"
9.png,"In the scene, how many white cone's are there?",1,"[1, 2, 0.7]"
107.png,"In the scene, how many red cube's are there?",1,"[5, 2, 0.8]"
15.png,"In the scene, how many black cylinder's are there?",1,"[1, 2, 0.99]"
106.png,"In the scene, how many red sphere's are there?",1,"[5, 2, 0.8]"
112.png,"In the scene, how many yellow cone's are there?",2,"[5, 3, 0.7]"
51.png,"In the scene, how many black sphere's are there?",1,"[3, 1, 0.8]"
113.png,"In the scene, how many red cone's are there?",1,"[5, 3, 0.7]"
29.png,"In the scene, how many yellow sphere's are there?",1,"[2, 1, 0.9]"
95.png,"In the scene, how many yellow cylinder's are there?",1,"[4, 3, 0.99]"
75.png,"In the scene, how many yellow cone's are there?",1,"[4, 1, 0.8]"
108.png,"In the scene, how many yellow cube's are there?",1,"[5, 2, 0.9]"
117.png,"In the scene, how many white cylinder's are there?",1,"[5, 3, 0.9]"
31.png,"In the scene, how many white cube's are there?",1,"[2, 1, 0.99]"
87.png,"In the scene, how many red cylinder's are there?",1,"[4, 2, 0.99]"
42.png,"In the scene, how many black torus's are there?",1,"[2, 3, 0.8]"
116.png,"In the scene, how many red torus's are there?",1,"[5, 3, 0.9]"
61.png,"In the scene, how many white torus's are there?",1,"[3, 2, 0.9]"
53.png,"In the scene, how many white sphere's are there?",1,"[3, 1, 0.9]"
44.png,"In the scene, how many yellow cone's are there?",1,"[2, 3, 0.9]"
